# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_mc_mineshaft
# Exported by: Bestari
setting:	replacespawns 0
weapon_ttt_m16	-584.000000 298.000000 535.682983	0.000 0.000 0.000
weapon_ttt_m16	-584.000000 310.000000 535.682983	0.000 0.000 0.000
weapon_ttt_m16	443.812988 173.824997 415.683014	0.000 0.000 0.000
weapon_ttt_m16	667.463013 1347.790039 575.682983	0.000 90.000 0.000
weapon_ttt_m16	218.000000 -232.000000 255.682999	0.000 0.000 0.000
weapon_ttt_m16	190.000000 952.000000 335.683014	0.000 0.000 0.000
weapon_ttt_m16	-376.000000 850.000000 534.682983	0.000 90.000 0.000
weapon_ttt_m16	612.947998 766.000000 214.682999	0.000 0.000 0.000
weapon_ttt_m16	-29.000000 232.000000 215.682999	0.000 0.000 0.000
weapon_ttt_m16	524.812988 492.000000 94.682899	0.000 0.000 0.000
weapon_ttt_m16	489.000000 -171.000000 215.682999	0.000 0.000 0.000
weapon_ttt_m16	165.000000 -33.000000 415.683014	0.000 0.000 0.000
weapon_ttt_m16	165.000000 -27.000000 415.683014	0.000 0.000 0.000
weapon_ttt_m16	-30.000000 796.000000 575.682983	0.000 0.000 0.000
item_box_buckshot_ttt	424.000000 620.000000 291.294006	0.000 0.000 0.000
item_box_buckshot_ttt	424.000000 660.000000 291.294006	0.000 0.000 0.000
item_box_buckshot_ttt	414.000000 660.000000 291.294006	0.000 0.000 0.000
item_box_buckshot_ttt	414.000000 620.000000 291.294006	0.000 0.000 0.000
item_box_buckshot_ttt	566.000000 740.000000 451.294006	0.000 0.000 0.000
item_box_buckshot_ttt	566.000000 752.000000 451.294006	0.000 0.000 0.000
item_box_buckshot_ttt	-424.000000 488.000000 210.294006	0.000 0.000 0.000
item_box_buckshot_ttt	-434.000000 488.000000 210.294006	0.000 0.000 0.000
item_box_buckshot_ttt	249.000000 487.000000 90.293900	0.000 0.000 0.000
item_box_buckshot_ttt	260.000000 487.000000 90.293900	0.000 0.000 0.000
item_box_buckshot_ttt	271.000000 487.000000 90.293900	0.000 0.000 0.000
item_box_buckshot_ttt	216.000000 648.000000 610.294006	0.000 0.000 0.000
item_box_buckshot_ttt	206.000000 648.000000 610.294006	0.000 0.000 0.000
ttt_random_ammo	-142.000000 -74.000000 211.001007	0.000 0.000 0.000
ttt_random_ammo	-142.000000 -68.000000 211.001007	0.000 0.000 0.000
ttt_random_ammo	546.588989 425.000000 251.001007	0.000 0.000 0.000
ttt_random_ammo	543.000000 412.927002 251.001007	0.000 0.000 0.000
ttt_random_ammo	703.301025 1216.750000 571.000977	0.000 0.000 0.000
ttt_random_ammo	704.918030 1231.020020 571.000977	0.000 0.000 0.000
ttt_random_ammo	-57.703800 229.619003 131.001007	0.000 0.000 0.000
ttt_random_ammo	1138.790039 735.443970 291.001007	0.000 0.000 0.000
ttt_random_ammo	1140.859985 749.125000 291.001007	0.000 0.000 0.000
ttt_random_ammo	978.229004 989.007996 211.001007	0.000 0.000 0.000
ttt_random_ammo	983.245972 968.348999 211.001007	0.000 0.000 0.000
ttt_random_ammo	146.000000 1168.000000 411.001007	0.000 0.000 0.000
ttt_random_ammo	118.000000 1168.000000 411.001007	0.000 0.000 0.000
ttt_random_ammo	506.000000 726.000000 290.001007	0.000 0.000 0.000
ttt_random_ammo	506.000000 758.000000 290.001007	0.000 0.000 0.000
ttt_random_ammo	506.000000 742.000000 290.001007	0.000 0.000 0.000
ttt_random_ammo	-186.000000 1196.000000 502.000000	0.000 0.000 0.000
ttt_random_ammo	-186.000000 1182.000000 502.000000	0.000 0.000 0.000
ttt_random_ammo	-148.000000 1190.000000 502.000000	0.000 0.000 0.000
ttt_random_ammo	-148.000000 1172.000000 502.000000	0.000 0.000 0.000
ttt_random_ammo	740.000000 1470.000000 571.000977	0.000 0.000 0.000
ttt_random_ammo	820.000000 1248.000000 571.000977	0.000 0.000 0.000
ttt_random_ammo	820.000000 1270.000000 571.000977	0.000 0.000 0.000
ttt_random_ammo	-426.000000 286.000000 496.000000	0.000 0.000 0.000
ttt_random_ammo	-426.000000 294.000000 496.000000	0.000 0.000 0.000
ttt_random_ammo	-426.000000 302.000000 496.000000	0.000 0.000 0.000
ttt_random_ammo	-426.000000 310.000000 496.000000	0.000 0.000 0.000
ttt_random_ammo	-398.000000 310.000000 496.000000	0.000 0.000 0.000
ttt_random_ammo	-398.000000 302.000000 496.000000	0.000 0.000 0.000
ttt_random_ammo	-398.000000 294.000000 496.000000	0.000 0.000 0.000
ttt_random_ammo	-398.000000 286.000000 496.000000	0.000 0.000 0.000
ttt_random_ammo	-398.000000 310.000000 516.000000	0.000 0.000 0.000
ttt_random_ammo	-398.000000 302.000000 516.000000	0.000 0.000 0.000
ttt_random_ammo	-398.000000 294.000000 516.000000	0.000 0.000 0.000
ttt_random_ammo	-398.000000 286.000000 516.000000	0.000 0.000 0.000
ttt_random_ammo	-426.000000 310.000000 516.000000	0.000 0.000 0.000
ttt_random_ammo	-426.000000 302.000000 516.000000	0.000 0.000 0.000
ttt_random_ammo	-426.000000 294.000000 516.000000	0.000 0.000 0.000
ttt_random_ammo	-426.000000 286.000000 516.000000	0.000 0.000 0.000
ttt_random_ammo	1462.000000 260.000000 178.000000	0.000 0.000 0.000
ttt_random_ammo	1462.000000 224.000000 178.000000	0.000 0.000 0.000
ttt_random_ammo	1462.000000 242.000000 192.000000	0.000 0.000 0.000
ttt_random_ammo	1218.000000 340.000000 188.000000	0.000 0.000 0.000
ttt_random_ammo	1194.000000 340.000000 188.000000	0.000 0.000 0.000
ttt_random_ammo	-380.000000 904.000000 298.000000	0.000 0.000 0.000
ttt_random_ammo	-380.000000 882.000000 298.000000	0.000 0.000 0.000
ttt_random_ammo	422.000000 -210.000000 102.000000	0.000 0.000 0.000
ttt_random_ammo	338.000000 -210.000000 102.000000	0.000 0.000 0.000
ttt_random_ammo	-306.000000 166.000000 171.001007	0.000 0.000 0.000
ttt_random_ammo	-306.000000 178.000000 171.001007	0.000 0.000 0.000
ttt_random_ammo	340.070007 905.681030 290.001007	0.000 0.000 0.000
ttt_random_ammo	338.000000 892.000000 290.001007	0.000 0.000 0.000
ttt_random_ammo	-59.930099 907.767029 336.000000	0.000 0.000 0.000
ttt_random_ammo	-62.000000 894.085999 336.000000	0.000 0.000 0.000
ttt_random_ammo	-175.145004 466.712006 210.001007	0.000 0.000 0.000
ttt_random_ammo	-418.000000 512.000000 210.001007	0.000 0.000 0.000
ttt_random_ammo	541.000000 590.000000 102.000000	0.000 0.000 0.000
ttt_random_ammo	542.000000 574.000000 102.000000	0.000 0.000 0.000
ttt_random_ammo	511.000000 574.000000 102.000000	0.000 0.000 0.000
ttt_random_ammo	510.000000 590.000000 102.000000	0.000 0.000 0.000
ttt_random_ammo	480.000000 574.000000 102.000000	0.000 0.000 0.000
ttt_random_ammo	479.000000 590.000000 102.000000	0.000 0.000 0.000
ttt_random_ammo	480.000000 574.000000 125.000000	0.000 0.000 0.000
ttt_random_ammo	479.000000 590.000000 125.000000	0.000 0.000 0.000
ttt_random_ammo	511.000000 574.000000 125.000000	0.000 0.000 0.000
ttt_random_ammo	510.000000 590.000000 125.000000	0.000 0.000 0.000
ttt_random_ammo	541.000000 590.000000 125.000000	0.000 0.000 0.000
ttt_random_ammo	542.000000 574.000000 125.000000	0.000 0.000 0.000
ttt_random_ammo	-345.000000 647.000000 574.000000	0.000 0.000 0.000
ttt_random_ammo	-345.000000 666.000000 574.000000	0.000 0.000 0.000
ttt_random_ammo	212.000000 668.000000 616.000000	0.000 0.000 0.000
ttt_random_ammo	500.000000 134.000000 94.000000	0.000 0.000 0.000
ttt_random_ammo	500.000000 146.000000 94.000000	0.000 0.000 0.000
ttt_random_ammo	540.000000 700.000000 616.000000	0.000 0.000 0.000
ttt_random_ammo	540.000000 720.000000 616.000000	0.000 0.000 0.000
ttt_random_ammo	580.000000 740.000000 616.000000	0.000 0.000 0.000
ttt_random_ammo	58.758900 221.298996 250.001007	0.000 0.000 0.000
ttt_random_ammo	99.908897 181.932007 210.001007	0.000 0.000 0.000
ttt_random_ammo	-97.656197 298.776001 330.001007	0.000 0.000 0.000
ttt_random_ammo	1394.199951 303.757996 171.001007	0.000 0.000 0.000
ttt_random_ammo	1459.300049 302.506012 171.001007	0.000 0.000 0.000
ttt_random_ammo	1459.040039 172.914993 171.001007	0.000 0.000 0.000
ttt_random_ammo	1390.219971 175.985001 171.001007	0.000 0.000 0.000
ttt_random_ammo	1211.609985 177.807999 171.001007	0.000 0.000 0.000
ttt_random_ammo	1141.890015 178.516006 171.001007	0.000 0.000 0.000
ttt_random_ammo	1419.290039 703.655029 -508.998993	0.000 0.000 0.000
ttt_random_ammo	1464.000000 701.908997 -508.998993	0.000 0.000 0.000
ttt_random_ammo	1383.750000 701.861023 -508.998993	0.000 0.000 0.000
ttt_random_ammo	1383.119995 741.960999 -508.998993	0.000 0.000 0.000
ttt_random_ammo	1384.189941 781.013977 -508.998993	0.000 0.000 0.000
ttt_random_ammo	1420.180054 776.161987 -508.998993	0.000 0.000 0.000
ttt_random_ammo	1459.619995 779.364990 -508.998993	0.000 0.000 0.000
ttt_random_ammo	1461.520020 738.504028 -508.998993	0.000 0.000 0.000
ttt_random_ammo	-376.000000 1095.189941 584.000000	0.000 0.000 0.000
ttt_random_ammo	-373.052002 1105.040039 584.000000	0.000 0.000 0.000
ttt_random_ammo	-346.518005 1094.020020 584.000000	0.000 0.000 0.000
ttt_random_ammo	-349.867004 1105.280029 584.000000	0.000 0.000 0.000
ttt_random_ammo	244.362503 592.118774 570.366150	1.032 0.005 0.721
ttt_random_ammo	254.656647 595.975220 570.312012	0.048 0.000 -0.037
ttt_random_ammo	251.018433 553.775940 570.392151	0.622 0.005 0.702
ttt_random_ammo	258.932831 556.227417 570.348999	0.051 0.000 -0.014
ttt_random_ammo	299.348236 351.442261 453.558380	-89.383 114.652 -89.236
ttt_random_ammo	307.396057 337.311829 452.693909	1.162 -19.731 89.994
ttt_random_ammo	383.862701 -31.563906 250.425934	-0.874 2.673 -0.760
ttt_random_ammo	370.997284 -29.739618 250.349030	0.051 0.000 -0.014
ttt_random_ammo	1115.001587 727.306763 210.369156	0.091 0.000 0.045
ttt_random_ammo	1104.065796 728.309998 210.357513	0.059 0.000 0.001
ttt_random_ammo	406.995117 725.065369 290.439056	1.186 0.029 1.435
ttt_random_ammo	409.312500 739.049011 290.353333	0.054 -0.000 0.008
ttt_random_ammo	866.924133 948.607971 610.449524	0.977 0.026 1.183
ttt_random_ammo	851.793335 950.753967 610.385376	0.271 0.001 0.272
ttt_random_ammo	829.999878 547.517456 442.943848	-1.297 0.028 -1.460
ttt_random_ammo	842.686890 547.296936 442.898834	-1.093 0.012 -1.115
ttt_random_ammo	511.095062 1333.283325 610.339966	0.047 0.000 -0.024
ttt_random_ammo	500.896027 1332.877563 610.359497	0.063 0.000 0.006
ttt_random_ammo	2095.175049 2728.951660 -269.664734	0.047 0.000 -0.027
ttt_random_ammo	2108.441162 2727.847412 -269.525238	0.415 0.019 0.501
ttt_random_ammo	2343.469238 2718.864258 -269.655396	0.049 0.000 -0.019
ttt_random_ammo	2333.193115 2720.366699 -269.667145	0.047 -0.000 0.028
ttt_random_ammo	2527.143311 1453.006714 -269.618988	0.188 0.001 0.169
ttt_random_ammo	2526.298828 1462.480469 -269.640442	0.063 0.000 0.006
ttt_random_ammo	2503.726807 1710.470093 -269.640442	0.063 0.000 0.006
ttt_random_ammo	2489.576904 1707.201538 -269.617462	0.213 0.001 0.201
ttt_random_ammo	1221.181519 108.531181 170.377823	0.152 0.001 0.123
ttt_random_ammo	1192.426758 104.080704 170.363495	0.071 0.000 0.018
ttt_random_ammo	1460.120361 101.198685 170.355438	0.057 0.000 -0.004
ttt_random_ammo	1449.925659 100.845459 170.445282	1.091 0.028 1.323
ttt_random_ammo	1445.976074 358.781036 170.386719	0.312 0.002 0.322
ttt_random_ammo	1437.704346 360.275177 170.337631	0.047 0.000 -0.025
ttt_random_ammo	-183.262390 458.450684 210.376190	0.134 0.000 0.101
ttt_random_ammo	188.234100 -229.859039 170.418777	1.611 -0.037 -1.952
ttt_random_ammo	180.465668 -224.636124 170.422165	1.540 -0.037 -1.866
ttt_random_ammo	-312.409271 434.559570 460.462067	0.554 144.474 -178.015
ttt_random_ammo	-283.417816 412.517761 452.758942	-0.009 -114.514 90.029
ttt_random_ammo	-295.604187 402.302063 452.757202	0.184 -124.280 90.051
ttt_random_ammo	105.462563 568.446289 530.438965	1.209 0.030 1.464
ttt_random_ammo	117.365494 561.344849 530.388489	-0.210 0.075 -0.435
ttt_random_ammo	108.483116 561.584045 530.365417	0.076 0.000 0.025
weapon_zm_rifle	-484.000000 286.000000 532.958008	0.000 0.000 0.000
weapon_zm_rifle	-484.000000 298.000000 532.958008	0.000 0.000 0.000
weapon_zm_rifle	-484.000000 310.000000 532.958008	0.000 0.000 0.000
weapon_zm_rifle	-154.000000 -68.000000 212.957993	0.000 90.000 0.000
weapon_zm_rifle	524.000000 214.000000 291.958008	0.000 90.000 0.000
weapon_zm_rifle	256.000000 422.000000 572.958008	0.000 0.000 0.000
weapon_zm_rifle	256.000000 432.000000 572.958008	0.000 0.000 0.000
weapon_zm_rifle	-315.000000 474.000000 492.958008	0.000 90.000 0.000
weapon_zm_rifle	54.000000 -234.000000 178.000000	0.000 0.000 0.000
weapon_zm_mac10	-704.000000 436.000000 535.471008	0.000 0.000 0.000
weapon_zm_mac10	-704.000000 426.000000 535.471008	0.000 0.000 0.000
weapon_zm_mac10	-704.000000 416.000000 535.471008	0.000 0.000 0.000
weapon_zm_mac10	-678.000000 416.000000 535.471008	0.000 0.000 0.000
weapon_zm_mac10	-678.000000 426.000000 535.471008	0.000 0.000 0.000
weapon_zm_mac10	-678.000000 436.000000 535.471008	0.000 0.000 0.000
weapon_zm_mac10	164.000000 686.000000 575.471008	0.000 0.000 0.000
weapon_zm_mac10	-302.000000 126.000000 415.471008	0.000 0.000 0.000
weapon_zm_mac10	648.000000 -116.000000 175.470993	0.000 0.000 0.000
weapon_zm_mac10	1210.000000 352.000000 175.470993	0.000 0.000 0.000
weapon_zm_mac10	1184.000000 352.000000 175.470993	0.000 0.000 0.000
weapon_zm_mac10	-153.358002 932.640991 614.471008	0.000 0.000 0.000
weapon_zm_mac10	-298.000000 172.000000 177.315002	0.000 0.000 89.000
weapon_zm_mac10	-236.000000 542.000000 174.470993	0.000 0.000 0.000
weapon_zm_mac10	-311.000000 469.000000 495.471008	0.000 0.000 0.000
weapon_zm_mac10	524.000000 1148.000000 614.471008	0.000 0.000 0.000
weapon_zm_mac10	-32.000000 259.147003 292.596985	0.000 0.000 0.000
item_ammo_357_ttt	-136.000000 -58.000000 211.276001	0.000 0.000 0.000
item_ammo_357_ttt	-136.000000 -44.000000 211.276001	0.000 0.000 0.000
item_ammo_357_ttt	540.598999 212.315994 291.276001	0.000 0.000 0.000
item_ammo_357_ttt	539.744019 235.251999 291.276001	0.000 0.000 0.000
item_ammo_357_ttt	248.000000 410.000000 571.276001	0.000 0.000 0.000
item_ammo_357_ttt	258.000000 410.000000 571.276001	0.000 0.000 0.000
item_ammo_357_ttt	268.000000 410.000000 571.276001	0.000 0.000 0.000
item_ammo_357_ttt	-307.000000 478.000000 491.276001	0.000 0.000 0.000
item_ammo_357_ttt	-307.000000 491.000000 491.276001	0.000 0.000 0.000
item_ammo_357_ttt	66.000000 -222.000000 176.317993	0.000 0.000 0.000
item_ammo_357_ttt	56.000000 -222.000000 176.317993	0.000 0.000 0.000
item_ammo_357_ttt	46.000000 -222.000000 176.317993	0.000 0.000 0.000
item_ammo_357_ttt	514.000000 1548.000000 571.276001	0.000 0.000 0.000
item_ammo_357_ttt	508.000000 1548.000000 571.276001	0.000 0.000 0.000
item_ammo_357_ttt	508.000000 1412.000000 571.276001	0.000 0.000 0.000
item_ammo_357_ttt	514.000000 1412.000000 571.276001	0.000 0.000 0.000
item_ammo_pistol_ttt	-124.000000 772.000000 530.280029	0.000 0.000 0.000
item_ammo_pistol_ttt	-124.000000 792.000000 530.280029	0.000 0.000 0.000
item_ammo_pistol_ttt	186.000000 420.803986 530.280029	0.000 0.000 0.000
item_ammo_pistol_ttt	234.000000 932.000000 331.279999	0.000 0.000 0.000
item_ammo_pistol_ttt	226.000000 932.000000 331.279999	0.000 0.000 0.000
item_ammo_pistol_ttt	714.000000 466.000000 371.279999	0.000 0.000 0.000
item_ammo_pistol_ttt	722.000000 466.000000 371.279999	0.000 0.000 0.000
item_ammo_pistol_ttt	-246.000000 752.000000 252.792999	0.000 0.000 0.000
item_ammo_pistol_ttt	-246.000000 732.000000 252.792999	0.000 0.000 0.000
item_ammo_pistol_ttt	1046.000000 954.000000 210.279999	0.000 90.000 0.000
item_ammo_pistol_ttt	1066.000000 954.000000 210.279999	0.000 90.000 0.000
item_ammo_pistol_ttt	766.000000 468.000000 211.279999	0.000 0.000 0.000
item_ammo_pistol_ttt	774.000000 468.000000 211.279999	0.000 0.000 0.000
weapon_zm_molotov	-678.000000 312.000000 535.734985	0.000 0.000 0.000
weapon_zm_molotov	-678.000000 300.000000 535.734985	0.000 0.000 0.000
weapon_zm_molotov	-678.000000 288.000000 535.734985	0.000 0.000 0.000
weapon_zm_molotov	-692.000000 288.000000 535.734985	0.000 0.000 0.000
weapon_zm_molotov	-692.000000 300.000000 535.734985	0.000 0.000 0.000
weapon_zm_molotov	-692.000000 312.000000 535.734985	0.000 0.000 0.000
weapon_zm_molotov	-706.000000 288.000000 535.734985	0.000 0.000 0.000
weapon_zm_molotov	-706.000000 300.000000 535.734985	0.000 0.000 0.000
weapon_zm_molotov	-706.000000 312.000000 535.734985	0.000 0.000 0.000
weapon_zm_molotov	1506.449951 340.062988 -504.265015	0.000 0.000 0.000
weapon_zm_molotov	1260.869995 -305.757996 -504.265015	0.000 0.000 0.000
weapon_zm_molotov	-308.307007 -100.126999 -504.265015	0.000 0.000 0.000
weapon_zm_molotov	-100.655998 -128.988998 -504.265015	0.000 0.000 0.000
weapon_zm_molotov	227.389999 19.483700 -504.265015	0.000 0.000 0.000
weapon_zm_molotov	699.267029 1666.479980 -264.265015	0.000 0.000 0.000
weapon_ttt_confgrenade	-618.000000 288.000000 534.487000	0.000 0.000 0.000
weapon_ttt_confgrenade	-618.000000 300.000000 534.487000	0.000 0.000 0.000
weapon_ttt_confgrenade	-618.000000 312.000000 534.487000	0.000 0.000 0.000
weapon_ttt_confgrenade	-628.000000 312.000000 534.487000	0.000 0.000 0.000
weapon_ttt_confgrenade	-628.000000 300.000000 534.487000	0.000 0.000 0.000
weapon_ttt_confgrenade	-628.000000 288.000000 534.487000	0.000 0.000 0.000
weapon_ttt_confgrenade	-640.000000 288.000000 534.487000	0.000 0.000 0.000
weapon_ttt_confgrenade	-640.000000 300.000000 534.487000	0.000 0.000 0.000
weapon_ttt_confgrenade	-640.000000 312.000000 534.487000	0.000 0.000 0.000
weapon_ttt_confgrenade	-151.078995 775.362976 534.487000	0.000 0.000 0.000
weapon_ttt_confgrenade	-150.000000 766.000000 534.487000	0.000 0.000 0.000
weapon_ttt_confgrenade	-295.421997 139.341003 414.487000	0.000 0.000 0.000
weapon_ttt_confgrenade	830.997986 1014.070007 254.487000	0.000 0.000 0.000
weapon_ttt_confgrenade	819.406982 1015.109985 254.487000	0.000 0.000 0.000
weapon_ttt_confgrenade	91.805801 685.374023 534.487000	0.000 0.000 0.000
weapon_ttt_confgrenade	-62.081299 220.147003 134.487000	0.000 0.000 0.000
weapon_ttt_confgrenade	655.695984 -107.147003 174.487000	0.000 0.000 0.000
weapon_ttt_confgrenade	1107.170044 632.335999 214.487000	0.000 0.000 0.000
weapon_ttt_confgrenade	168.227005 713.065002 574.487000	0.000 0.000 0.000
weapon_ttt_confgrenade	177.662994 414.000000 533.487000	0.000 0.000 0.000
weapon_ttt_confgrenade	740.724976 470.105011 374.487000	0.000 0.000 0.000
weapon_ttt_confgrenade	741.119995 462.074005 374.487000	0.000 0.000 0.000
weapon_ttt_confgrenade	741.937012 452.907013 374.487000	0.000 0.000 0.000
weapon_ttt_confgrenade	-251.520004 738.083984 256.000000	0.000 0.000 0.000
